Datetime,Open,High,Low,Close,Volume
2022-06-06T00:00:00,553.0,583.25,553.0,579.0,10383944
2022-06-07T00:00:00,575.0,579.45,567.1,572.1,3735461
2022-06-08T00:00:00,573.6,583.0,572.2,576.15,4138705
2022-06-09T00:00:00,570.0,575.7,564.0,572.2,3922515
2022-06-10T00:00:00,565.0,574.0,561.35,572.5,3374125
2022-06-13T00:00:00,563.1,567.95,555.0,564.0,4071346
2022-06-14T00:00:00,562.8,576.8,560.15,561.9,3413396
2022-06-15T00:00:00,562.1,569.0,557.05,563.0,3803101
2022-06-16T00:00:00,571.5,571.5,544.45,545.85,4899759
2022-06-17T00:00:00,540.1,561.7,539.7,554.6,6776372
2022-06-20T00:00:00,550.6,554.6,536.1,550.35,5614520
2022-06-21T00:00:00,556.0,580.8,552.7,576.2,4657829
2022-06-22T00:00:00,567.25,569.9,542.5,550.4,8511658
2022-06-23T00:00:00,550.0,565.5,548.0,558.95,5037690
2022-06-24T00:00:00,561.7,572.9,560.25,567.8,3406061
2022-06-27T00:00:00,575.7,588.5,570.05,571.65,6550599
2022-06-28T00:00:00,573.45,580.55,568.0,578.4,4285360
2022-06-29T00:00:00,573.5,581.15,569.15,576.05,3334027
2022-06-30T00:00:00,577.0,582.8,556.2,564.5,5646362
2022-07-01T00:00:00,556.55,580.5,556.55,578.85,3737790
2022-07-04T00:00:00,562.1,568.75,544.2,551.5,6026463
2022-07-05T00:00:00,555.5,564.0,550.6,552.65,3562565
2022-07-06T00:00:00,548.0,557.3,541.0,554.55,3281658
2022-07-07T00:00:00,560.55,578.0,551.6,574.6,4952962
2022-07-08T00:00:00,580.0,581.1,562.55,566.2,3313755
2022-07-11T00:00:00,564.0,591.35,561.1,577.3,4900994
2022-07-12T00:00:00,573.9,581.45,563.5,574.45,3425619
2022-07-13T00:00:00,575.55,593.75,574.6,588.6,4569908
2022-07-14T00:00:00,589.0,591.45,574.25,584.0,4660656
2022-07-15T00:00:00,582.0,584.0,569.35,576.4,3051005
2022-07-18T00:00:00,582.9,592.0,578.0,585.95,3583550
2022-07-19T00:00:00,580.85,589.6,577.4,584.85,3586372
2022-07-20T00:00:00,595.5,599.95,587.0,590.35,4550328
2022-07-21T00:00:00,589.9,595.9,585.05,587.55,3773423
2022-07-22T00:00:00,588.0,592.55,579.2,582.45,4351458
2022-07-25T00:00:00,573.5,588.4,573.5,585.5,5783353
2022-07-26T00:00:00,584.0,599.65,581.6,597.75,6031921
2022-07-27T00:00:00,596.0,603.8,590.0,602.7,2913380
2022-07-28T00:00:00,605.1,626.95,603.05,616.7,5104503
2022-07-29T00:00:00,623.0,637.95,620.55,629.6,4732970
2022-08-01T00:00:00,634.6,641.0,628.25,639.2,3055387
2022-08-02T00:00:00,637.75,649.95,626.3,648.7,3053206
2022-08-03T00:00:00,650.0,660.8,645.0,652.8,4446383
2022-08-04T00:00:00,652.9,673.45,652.9,664.35,4705675
2022-08-05T00:00:00,665.1,674.0,665.0,667.15,2455459
2022-08-08T00:00:00,670.5,676.0,662.45,669.2,2446698
2022-08-10T00:00:00,672.55,674.8,660.0,670.1,3252353
2022-08-11T00:00:00,673.1,678.3,669.45,673.6,3480693
2022-08-12T00:00:00,673.6,685.0,673.0,678.2,3476671
